dim,alpha,n_samples,mean_charge,std_charge,mean_hydro,std_hydro,mean_moment,std_moment,mean_length,std_length
6,-0.9502367973327637,3,2.6999999999999997,1.2832251036613438,0.4459514170040486,0.17770197304852392,1.3657195501744717,0.4544695143986187,18.666666666666668,4.496912521077347
6,-0.6334912180900574,3,0.7333333333333334,0.967241208569794,0.8201357466063347,0.3016736233318412,1.732982759416762,0.29112105475975497,16.666666666666668,2.8674417556808756
6,-0.3167456090450287,3,0.3333333333333333,1.247219128924647,0.8312500000000002,0.2910161396186104,1.668801604335945,0.3311362682111028,17.333333333333332,4.988876515698588
6,0.0,3,1.6666666666666667,1.699673171197595,0.8316053511705687,0.7909409206982361,1.8419573525445214,0.3134360443272744,17.333333333333332,4.189935029992178
6,0.3167456090450287,3,4.0,2.943920288775949,-0.3710214604236343,0.8931590133999899,0.8822218864736789,0.6068384108034511,17.333333333333332,4.189935029992178
6,0.6334912180900574,3,2.3333333333333335,2.6246692913372702,0.7475829725829725,1.0862302904668188,1.0072631384490578,0.5203357961359998,26.0,13.140268896284683
6,0.9502367973327637,3,1.3333333333333333,1.8856180831641267,0.5130341880341881,0.2192896990156682,1.9687983265292104,0.28434353421812586,12.666666666666666,0.4714045207910317
6,1.2669824361801147,3,1.7,1.8384776310850237,0.6209920634920635,0.5416279450082012,1.4142604430367285,0.1929937793292588,21.666666666666668,1.699673171197595
19,-1.2644028663635254,3,1.0333333333333334,0.047140452079103216,0.44059829059829053,0.6769541022847783,1.8762590679108235,0.2040022480664379,12.666666666666666,0.4714045207910317
19,-0.948302149772644,3,1.7,1.6673332000533065,0.07583381530749951,0.25027783385745483,1.8288402516374012,0.19153463952447533,15.333333333333334,2.6246692913372702
19,-0.6322014331817627,3,1.0333333333333334,0.8576453553512405,1.1386930199430199,0.7391687006094686,1.478900725134806,0.06715854532406276,15.666666666666666,2.0548046676563256
19,-0.31610071659088135,3,2.733333333333333,1.3199326582148887,-0.021318021318021407,0.35165107537926565,1.1910549530139356,0.8137823561614422,23.666666666666668,9.977753031397176
19,0.0,3,1.0666666666666667,0.7760297817881877,0.15902777777777777,0.7587383177858775,1.5250992880633383,0.15257498356030444,13.333333333333334,1.8856180831641267
19,0.31610071659088135,3,2.066666666666667,0.7363574011458174,-0.23467532467532473,0.78414896847954,1.0511983609697193,0.213709825569817,18.666666666666668,3.39934634239519
19,0.6322014331817627,3,4.066666666666666,2.3683092891108815,0.49957706766917287,0.6385550490959797,1.5299219731832003,0.24017552592231955,21.0,5.0990195135927845
19,0.948302149772644,3,2.0,0.816496580927726,-0.41944444444444445,0.6649398933199865,1.1442382842109131,0.1668464142609015,18.0,4.898979485566356
19,1.2644028663635254,3,1.3666666666666665,0.5185449728701349,0.2364619883040935,0.5618561604138921,1.6068507308692273,0.12245856605437289,16.666666666666668,1.699673171197595
